title,artist,genre,mood,energy,valence,tempo,danceability,acousticness,popularity
Brown Sugar,D'Angelo,Neo Soul,romantic,0.45,0.72,84,0.60,0.50,82
No One,Alicia Keys,Neo Soul,romantic,0.40,0.68,76,0.55,0.45,91
The Way You Look Tonight,Tony Bennett,Jazz,romantic,0.32,0.85,108,0.48,0.78,84
River Flows in You,Yiruma,Instrumental,focused,0.15,0.60,66,0.20,0.95,91
Nuvole Bianche,Ludovico Einaudi,Instrumental,focused,0.12,0.58,52,0.18,0.96,88
The Well-Tempered Clavier,Bach,Classical,focused,0.14,0.62,80,0.22,0.97,82
Goldberg Variations,Glenn Gould,Classical,focused,0.10,0.65,72,0.16,0.98,84
Your Hand in Mine,Explosions in the Sky,Post-Rock,focused,0.42,0.55,96,0.35,0.65,78
First Breath After Coma,Explosions in the Sky,Post-Rock,focused,0.50,0.48,104,0.38,0.58,76
Study Session Lo-Fi,ChilledCow,Lo-Fi,focused,0.18,0.55,80,0.30,0.80,85
Coffee Shop,Lofi Fruits,Lo-Fi,focused,0.16,0.58,75,0.28,0.82,83
An Ending Ascent,Brian Eno,Ambient,focused,0.08,0.50,80,0.15,0.94,75
Structures from Silence,Steve Roach,Ambient,focused,0.06,0.52,60,0.12,0.96,70
Master of Puppets,Metallica,Metal,angry,0.98,0.30,212,0.68,0.02,92
Chop Suey,System of a Down,Metal,angry,0.96,0.28,144,0.65,0.03,90
Down with the Sickness,Disturbed,Metal,angry,0.95,0.25,188,0.62,0.02,88
Killing in the Name,Rage Against the Machine,Hard Rock,angry,0.94,0.32,104,0.70,0.03,93
Holiday,Green Day,Punk,angry,0.88,0.40,152,0.75,0.04,87
Anarchy in the UK,Sex Pistols,Punk,angry,0.90,0.35,176,0.68,0.05,82
Till I Collapse,Eminem,Rap,angry,0.94,0.28,171,0.80,0.04,92
Bodies,Drowning Pool,Metal,angry,0.97,0.22,164,0.60,0.02,85
Highway to Hell,AC/DC,Hard Rock,angry,0.93,0.50,116,0.72,0.04,91
Break Stuff,Limp Bizkit,Nu Metal,angry,0.95,0.25,120,0.65,0.03,84
Take On Me,a-ha,80s Pop,nostalgic,0.68,0.88,168,0.72,0.18,92
Africa,Toto,80s Pop,nostalgic,0.62,0.82,92,0.68,0.22,94
Bohemian Rhapsody,Queen,Classic Rock,nostalgic,0.74,0.58,72,0.60,0.35,98
Hotel California,Eagles,Classic Rock,nostalgic,0.55,0.52,75,0.55,0.40,96
September,Earth Wind & Fire,70s Soul,nostalgic,0.80,0.90,126,0.85,0.12,91
Lean on Me,Bill Withers,70s Soul,nostalgic,0.42,0.82,76,0.58,0.55,90
No Scrubs,TLC,90s R&B,nostalgic,0.65,0.75,102,0.78,0.20,89
Toxic,Britney Spears,2000s Pop,nostalgic,0.72,0.80,143,0.80,0.15,93
Yeah,Usher,2000s R&B,nostalgic,0.82,0.84,102,0.88,0.08,90
Don't Stop Believin,Journey,Classic Rock,nostalgic,0.70,0.78,119,0.64,0.25,95
